original_name,standard_name
Myrmotherula menetriesii,Myrmotherula menetriesii
Cercomacra cinerascens,Cercomacra cinerascens
Tolmomyias poliocephalus,Tolmomyias poliocephalus
Turdus hauxwelli,Turdus hauxwelli
Anhima cornuta,Anhima cornuta
Eubucco richardsoni,Eubucco richardsoni
Dryobates passerinus,Dryobates passerinus
Nasica longirostris,Nasica longirostris
Myrmotherula longipennis,Myrmotherula longipennis
Amazona farinosa,Amazona farinosa
Cyphorhinus arada,Cyphorhinus arada
Psarocolius bifasciatus,Psarocolius bifasciatus
Tangara chilensis,Tangara chilensis
Patagioenas cayennensis,Patagioenas cayennensis
Legatus leucophaius,Legatus leucophaius
Dendrocincla fuliginosa,Dendrocincla fuliginosa
Isleria hauxwelli,Isleria hauxwelli
Myrmelastes hyperythrus,Myrmelastes hyperythrus
Patagioenas plumbea,Patagioenas plumbea
Thamnophilus schistaceus,Thamnophilus schistaceus
Euphonia chlorotica,Euphonia chlorotica
Querula purpurata,Querula purpurata
Myrmotherula brachyura,Myrmotherula brachyura
Orthopsittaca manilatus,Orthopsittaca manilatus
Campephilus rubricollis,Campephilus rubricollis
Corythopis torquatus,Corythopis torquatus
Celeus torquatus,Celeus torquatus
Onychorhynchus coronatus,Onychorhynchus coronatus
Formicarius colma,Formicarius colma
Patagioenas subvinacea,Patagioenas subvinacea
Formicarius rufifrons,Formicarius rufifrons
Poecilotriccus latirostris,Poecilotriccus latirostris
Geotrygon montana,Geotrygon montana
Patagioenas speciosa,Patagioenas speciosa
Celeus grammicus,Celeus undatus
Lipaugus vociferans,Lipaugus vociferans
Cacicus solitarius,Cacicus solitarius
Ortalis guttata,Ortalis guttata
Penelope jacquacu,Penelope jacquacu
Pygiptila stellaris,Pygiptila stellaris
Dendroplex picus,Dendroplex picus
Tapera naevia,Tapera naevia
Xiphorhynchus obsoletus,Xiphorhynchus obsoletus
Xenops rutilans,Xenops rutilans
Odontophorus stellatus,Odontophorus stellatus
Megascops watsonii,Megascops watsonii
Campylorhynchus turdinus,Campylorhynchus turdinus
Crypturellus undulatus,Crypturellus undulatus
Trogon ramonianus,Trogon ramonianus
Nystalus obamai,Nystalus obamai
Hemitriccus griseipectus,Hemitriccus griseipectus
Platyrinchus platyrhynchos,Anas platyrhynchos
Myrmotherula axillaris,Myrmotherula axillaris
Ornithion inerme,Ornithion inerme
Turdus albicollis,Turdus albicollis
Sirystes albocinereus,Sirystes albocinereus
Ramphastos tucanus,Ramphastos tucanus
Piculus leucolaemus,Piculus leucolaemus
Pachyramphus polychopterus,Pachyramphus polychopterus
Piprites chloris,Piprites chloris
Tyrannulus elatus,Tyrannulus elatus
Tolmomyias assimilis,Tolmomyias assimilis
Cacicus cela,Cacicus cela
Melanerpes cruentatus,Melanerpes cruentatus
AMCR,Corvus brachyrhynchos
AMGO,Spinus tristis
AMRE,Setophaga ruticilla
AMRO,Turdus migratorius
BAOR,Icterus galbula
BAWW,Mniotilta varia
BBWA,Setophaga castanea
